Departamento,Avión,Bus,Tren,Barco
CUSCO,Sí,Sí,Sí,No
CAJAMARCA,Sí,Sí,No,No
AMAZONAS,Sí,Sí,No,No
HUÁNUCO,Sí,Sí,No,No
APURÍMAC,Sí,Sí,No,No
ICA,Sí,Sí,No,No
JUNÍN,Sí,Sí,Sí,No
PIURA,Sí,Sí,No,No
SAN MARTÍN,Sí,Sí,No,No
LA LIBERTAD,Sí,Sí,No,No
ÁNCASH,Sí,Sí,No,No
LORETO,Sí,No,No,Sí
LAMBAYEQUE,Sí,Sí,No,No
PASCO,No,Sí,No,No
PUNO,Sí,Sí,Sí,Sí
MOQUEGUA,Sí,Sí,No,No
AYACUCHO,Sí,Sí,No,No
TACNA,Sí,Sí,Sí,No
UCAYALI,Sí,Sí,No,Sí
AREQUIPA,Sí,Sí,Sí,No
MADRE DE DIOS,Sí,Sí,No,Sí
TUMBES,Sí,Sí,No,No
HUANCAVELICA,No,Sí,Sí,No
LIMA,Sí,Sí,Sí,No
CALLAO,Sí,Sí,Sí,No
