MES,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA METROPOLITANA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PROV. CONST. DEL CALLAO,PUNO,REGION LIMA,SAN MARTIN,TACNA,TUMBES,UCAYALI
1,831,2659,965,6228,1412,2169,3465,369,1720,2859,3747,5089,5166,32867,1190,598,624,375,4654,3216,1884,2579,1723,1147,667,1153
2,807,2652,964,5748,1544,2597,3265,334,1737,2831,3979,5094,5357,33117,1279,635,614,388,4404,3385,2077,2569,1675,1102,650,975
3,868,2720,1045,6394,1869,2293,3650,316,1769,2858,4031,5353,5698,33661,1376,715,742,422,4867,3487,1821,2545,1706,1134,753,1170
4,819,2624,1002,6214,1473,2055,3435,360,1777,2648,3633,4997,5451,30430,1402,682,628,448,4390,2987,1637,2182,1751,975,673,1204
5,770,2631,938,5713,1475,2220,3295,354,1735,2659,3399,5062,5553,29386,1364,550,580,411,4282,2668,1679,2147,1672,1027,706,1074
6,839,2539,966,5685,1338,2147,3514,373,1745,2550,3381,4866,5173,29481,1356,700,648,388,4021,2740,1648,2143,1724,962,635,1006
7,834,2680,1035,5859,1413,2113,3345,384,1867,2760,3337,4810,5217,30711,1355,694,654,412,4213,2894,1837,2224,1572,960,654,1159
8,872,2766,1028,5625,1481,2062,3470,392,1723,2746,3368,4641,5293,30437,1457,631,593,352,4057,2910,1976,2296,1672,1069,641,1036
9,903,2728,1095,5439,1504,2087,3293,346,1798,2939,3130,4591,5243,30033,1281,662,644,436,4095,2650,1838,2276,1720,881,611,1171
10,839,2508,999,5273,1422,2132,3222,340,1670,2805,3032,4480,4994,29379,1242,628,506,388,3596,2624,1705,2454,1667,963,653,992
11,695,2259,965,4835,1221,1958,2939,362,1529,2754,2757,4078,4910,27244,1203,636,544,421,3382,2394,1367,2356,1461,950,634,790
12,719,2382,1077,4843,1276,1834,3004,381,1548,2899,2705,4397,4908,28795,1269,583,504,399,3730,2534,1503,2431,1530,954,681,775
